userName,score,content
Pengguna Google,5,wOw
Pengguna Google,5,👍👍👍
Pengguna Google,5,bagus banget
Pengguna Google,1,"saya pengguna lama tokped, sebelum ada toko oren saya udah pake tokped tapi saya kecewa saya kena tipu sama seller tapi lambat banget sampe berhari2 penanganannya padahal bukti jelas bgt ada vidio unboxing dll, Saya mau hapus akun aja, ga mau pake lagi, kecewa banget sumpah"
Pengguna Google,5,smog sm mnguntungkn
Pengguna Google,5,sangat menyenangkan bisa berbelanja online di toped
Pengguna Google,3,"infinix gt20. knpa tidak bisa upload foto diulasan? selalu mental keluar saat loading foto, klu tanpa foto bisa kasih ulasan"
Pengguna Google,1,"kurirnya lelet banget, mending di shopee lebih cepet"
Pengguna Google,1,kurang bagus
Pengguna Google,1,aplikasi sampah. ngerating aja lgsung force close. perbaikin dl jgn asal launching gblok
Pengguna Google,2,lama sampai nya...udah lewat estimasi...komplain juga gabisa karena nunggu tanggal 18 😭😭
Pengguna Google,5,"Bisa buat sukses.Mungkin dengan aplikasi ini,sekian."
Pengguna Google,5,good
Pengguna Google,1,"Tokopedia tolong gak usah kerja sama lagi sama expedisi sapx ,itu expedisi udah lelet banget, komplain gak di tanggapi, tiba tiba paket return, padahal gak ada datang kerumah"
Pengguna Google,4,sering ngebug buat ulasan aja susah
Pengguna Google,5,oke
Pengguna Google,1,"melebihi batas sampai hampir seminggu,pelayanan lama,dan TIDAK ada garansi tepat waktu"
Pengguna Google,5,sangat menyenangkan
Pengguna Google,1,"ga bisa bayar pake e-wallet padahal jaringan bagus juga. fr bro? gw mau belanja jadi susah udah hampir 3 hari kaya gini pls tokped fix ur bug on ur app bro, ts pmo💔🥀"
Pengguna Google,4,"sebenarnya ni aplikasi bisa dikasi rating 5 karena mesen bisa cod dan gak ribet nyari barang koleksi kek diecats ato model kit tank tapi plis,kek shopee bisa lacak paket yang kita pesen klo ada itu sih membantu banget biar menghindari gak bisa bayar karena belum siapin uang dari hari² sebelumnya ato orangnya lagi jalan² tapi paketnya udh sampe apes dah itu tolong dibaca ya min😁"
Pengguna Google,1,aplikasi tidak tampil di hp
Pengguna Google,3,untuk tokopedia tolong pilih expedisi yg bagus. jangan pakai socepat lagi
Pengguna Google,2,Sering gk jelas
Pengguna Google,1,"lama, ga tepat waktu, di PHP in Mulu, ngelacaknya ga jelas"
Pengguna Google,5,terus belanja 👍👍👍👍👍👌👌
Pengguna Google,3,datangnya lama
Pengguna Google,1,"barang yg saya beli bermasalah, atau rusak komlain dari tgl 21 maret, sampai sekarang 16 april belum juga juga ada kejelasan. tolong jagan rugikan pembeli, tiru toko sebelah cepat 3 hari uang udah kembali"
Pengguna Google,1,"KURIRNYA PARAH LAMA 2 HARI DIEM AJA NGAPAIN , BEDA JAUH SAMA LAZADA DAN SHOPPE GAK SELAMA TOKPED, EMANG TOKPED NIH KURIRNYA SAKIT SEMUA"
Pengguna Google,5,aplikasi josss keren
Pengguna Google,1,notifikasi asw
Pengguna Google,5,"aplikasinya bagus, gampang digunakan nya"
Pengguna Google,5,baik
Pengguna Google,3,"Tolong di dong Pembatalan Orderan yg tidak di respon, jangan dibuat menunggu otomatis, ketika kita butuh cepat, malah jadi nunggu Pembatalan otomatis, banyak toko yg pelayanannya buruk, Respon Chat Buruk, Mohon pihak aplikator verifikasi Ulang lagi Toko2 yg tidak aktif, lalu di Bekukan saja, Terima kasih."
Pengguna Google,3,"kenapa status pengiriman jarang di-update stuck di situ"" aja, dibanding di apk sebelah selalu update status pengiriman jadi tau posisi pake lagi dimna"
Pengguna Google,5,bermanfaat
Pengguna Google,5,buat belanja jadi mudah tapi ongkirnya ga kira kira
Pengguna Google,1,"gimana sih, barangnya rusak mau ganti komplain nya gk bisa, alhasil dana udah masuj ke si penjual. aelahhhhhhhhhhhhhh rugi bangetttttt. mana mahal lagi udah gk bisa di makan semuaaaa. tolong dong tokped perbaiki lagi systemnya. kalau jual yg fress kan harusnya ekpedisi jangan kelamaan di tempat. pengembalian dana saya,"
Pengguna Google,1,"masih bagus versi lama, pencarian sesuai yang dicari, sekarang sudah seperti shopee, lain yang dicari lain yang muncul, aplikasi tulul 🗿🗿🗿"
Pengguna Google,1,"Pesan pesan inbox lama tidak bsia dihapus, tampilan aplikasi sering berubah ubah, loading lama, crash, beberapa iklan lama tidak bisa dihapus. Rating bintang 1/buruk adalah yang paling tepat untuk anda"
Pengguna Google,2,"tidak ada solusi via Tokopedia care, kurir cargo rekomendasi Tokopedia ( sicepat halu/gokil) sangat membuat rugi pengguna/pembeli karena sudah 3 kali gagal kirim dan ongkir hangus, tolong di perbaiki"
Pengguna Google,1,"baru pertama menggunakan aplikasi ini, udah kecewa harusnya ada sistem pending uang yg masuk dari pembeli dan penerima, karena tak semua menerima barangnya secara baik dan bahkan yg saya alami, terjadi penipuan. kalo sistemnya sudah di Terima barang tapi yg bukan menerima barang adalah sang pembeli, melainkan bibi atau ortu yg tiba-tiba membuka tanpa mengkonfirmasi apa isinya penjual merasa di beri perlindungan oleh pihak Aplikasi. saya kecewa kalo sistemnya seperti ini."
Pengguna Google,5,keren
Pengguna Google,5,selalu berbelanja di sini nice
Pengguna Google,1,"beli liquid udah kayak beli narkoba, udah verifikasi juga susah beli dari apk, giliran dari web pembayaran gak bisa"
Pengguna Google,1,"padahal barang belum dikirim, tapi tidak bisa dibatalkan. Saya sudah chat ke CS Tokopedia tapi tidak kunjung dibalas. Seller dan Tokopedia sama-sama nir empati. Padahal sellernya Official Store, kedua CSnya sangat tidak membantu. Kapok!"
Pengguna Google,4,"olshop paling pelit voucher dan harga barangnya lebih mahal dibanding olshop lain, cocok banget buat kaum yg kebanyakan duit dan bingung mau dihabisin buat apa 🥰🥰"
Pengguna Google,5,membatu untuk mencari produk2 yg kita inginkan sesuai kebutuhan.terima kasih tokopedia
Pengguna Google,4,mantap harganya berpariasi
Pengguna Google,5,oke
Pengguna Google,2,"banyak toko tukang tipu, tolong lebih selektif lagi dalam join patner"
Pengguna Google,1,"Pengembalian dana pesanan saya tidak dikembalikan semuanya. Biaya ongkir tidak dikembalikan. Yang salah tokonya karena pesanan saya sudah bermasalah dari sananya bukan dari saya. Belanja disini rugi + voucher diskon dan gratis ongkir tidak dikembalikan. Pelayanannya lama, lambat, dan tidak menyelesaikan masalah. Masih bagusan shopee dari pada tokopedia. Penipu!!!!!"
Pengguna Google,2,"pesanan beberapa kali dibatalkan sistem lama pula responnya, promo juga udah jarang, padahal udah hnpr 4rhn ini tiap bulan selalu belanja kebutuhan di tokped, waktunya pindah ke sebelah nih"
Pengguna Google,1,tokopedia sekarang pelayanannya tidak bagus.
Pengguna Google,5,ok
Pengguna Google,5,sangat rekomendasi
Pengguna Google,1,"tokopedia PARAH chat gak bisa ngirim gambar tampilan gambar yg dikirim &diterima putih semua, padahal speed i ternet 25mbps. TOKOPEDIA MAKIN wassssuuuu"
Pengguna Google,5,"Sudah ada perbaikan dari case sebelumnya. ""Setelah update selalu force close saat pilih kotak masuk"""
Pengguna Google,1,jelek
Pengguna Google,1,"kecewa banget baru belanja ditokopedia kenak tipu sama toko, terus gaada jawaban dari tokopedia"
Pengguna Google,4,Senang dengan produk ini.
Pengguna Google,1,aplikasi gak jelas. gua komplain barang karena penjual licik malah susah banget malah kek ngebiarin penjual2 penipu. gua komplain mau kembalikan barang karena gak sesuai aja susahnya minta ampun gak di acc sama sekali
Pengguna Google,5,mudah digunakan
Pengguna Google,1,"buruk, paket sudah hampir seminggu dari tanggal CO ga dateng2 sering banget lelet di expedisinya kalo belanja disini, apalagi kurir rekomendasi, hadeh"
Pengguna Google,5,Bagus
Pengguna Google,3,tolong kembalikan sistem cashback seperti dulu lah
Pengguna Google,1,"sistem pengiriman aneh,barang lama nyampe komplain gak ada respon"
Pengguna Google,5,lancar
Pengguna Google,5,jaminan mutu qualitas istimewa kurir amanah tepat waktu bikin keragihan
Pengguna Google,1,si penjual jual barang rusak biar dibalikin lagi karna w beli pake tiket diskon
Pengguna Google,1,"wkwk modalnya abis ya toped? mau nyalip Shopee jadi nomor satu? MIMPI.! Promo kadang ada kadang kagak, GAJELAS! wkwk"
Pengguna Google,1,aplikasi selalu error
Pengguna Google,1,di bohongin TOKOPEDIA udah beroangganan PLUS promo produk produk masih harga normal tidak ada potongan harga setelah beroangganan PLUS besok beaok gia males berlangganan PLUS lagi ngk ada pemgaruhnya
Pengguna Google,3,CS nya slow respon
Pengguna Google,1,transaksi suka gagal
Pengguna Google,1,"Saldo refun Lama dan tidak jelas berapa lama, sudah lewat estimasi pengembalian Dana Refun, tapi dana belum diterima. tokopediacare tidak membantu karena jawaban berulang (Robot)"
Pengguna Google,5,👍🏻
Pengguna Google,4,masih ok syang aplikasi nya lemot
Pengguna Google,1,ajukan barang komplain tidak membantu malah dibikin ribet
Pengguna Google,4,"Makin hari makin jadi aplikasi penuh bug, developer coba2 terus nggak ada beresnya. Menu tampilan kadang berubah kadang balik awal lagi. Sekarang menu notif gabung sama menu pesan, cache server dibiarin aja terus. Transaksi udah di rate masih suruh dirate terus nggk update2. Sekarang ini search engine nggk jalan. Mau apa lagi sih ini developer udah kayak aplikasi BUMN yg minim budget."
Pengguna Google,4,"minta tlng fitur Tokopedia care dan tokopedia tanya diaktifkan lagi respon'a,jadi saat pembeli mengalami Maslaah bisa cepat dibantu. Saya jg mau minta tlng bantu cek ""Niat99"" olshop karena mengirim barang tidak sesuai ,saya retur alamat tidak diketemukan. Lantas bagaimana, dlu saya langganan tokped skrng saya kecewa dengan tokped ko bisa penjual dengan alamat fake,ga ada respon,kirim barang TDK sesuai bisa berseliweran ditokped bisa merusak nama tokped.Trims"
Pengguna Google,5,good
Pengguna Google,5,"kece badai gaesss ,maju terus tokped"
Pengguna Google,1,harusnya ada penilaian di kurir.pesen dari tanggal 2 sampe 16 april 2025 belum dateng paketnya.hanya karena diskon.beda ama apk orange
Pengguna Google,2,"Pilihan produk tidak sebanyak kompetitor, pengiriman lama, diskon juga ga banyak."
Pengguna Google,5,mantap
Pengguna Google,1,sangat buruk saya sebagai customer membeli barang dan ditipu seller Tokopedia bukan nya di selesaikan masalah saya tapi dibuat terkatung katung tidak ada kejelasan dan uang sampai hari ini belum di kembalikan oleh Tokopedia ...jangan ada lagi korban seperti saya
Pengguna Google,1,"Katanya untuk gabung ke Tiktok shop hanya opsi,kenapa saat membuat toko baru tulisannya ""Pendaftaran toko baru ditokopedia dialihkan ke halaman pendaftaran di tokopedia & tiktok shop seller center"""
Pengguna Google,1,tidak tertarik
Pengguna Google,1,"mau lancar belanja disini?di utamakan pengiriman espress/cepat.sudah amat canggih kok masi lelet kayak naik sepeda expedisinya.gimana kl pesanan tanaman dan buah dll.itu penipuan brg sampe sudah busuk.dan layanan harus Cod dan memblokir toko/penjual2 nakal,tipu2,brg palsu dan tidak sesuai deskripsi yg dilaporkan dan byk ulasan negatif yg bermasalah dg jualannya..bukan iklan2 aplikasi belanjamu menyebar di seluruh aplikasi dll.itu hanya mem bakar2 uangmu saja.iklanmu buang2 uang saja."
Pengguna Google,3,kok makin susah buka tampilan list item di aplikasinya...? loading nya lamaaaa
Pengguna Google,5,oke konsiten bos
Pengguna Google,1,"gak jelas, ada fitur yang tiba2 hilang ""Scam doang"", CS payah ""udah buat pengaduan tapi NO RESPON"", kacau dah 👎👎"
Pengguna Google,5,tokped emang terbaik top markettopp👍👍👍
Pengguna Google,1,"lama bnget... makin ksini makin gk jelas udh 7 hari gk yampe"" sangat kcewa mau pindah aja ke apk sbelah"
Pengguna Google,1,saya mau menuntut....saya tidak pernah transaksi di tokopedia...tapi kenapa saldo dana saya mengirim ke tokopedia...tolong kembali kn saldo dana saya...mohon kasih penjelasan
Pengguna Google,5,oke
Pengguna Google,1,"Aplikasinya sekarang buruk, tidak bisa kasih bintang sama ulasan saat penerimaan barang"
Pengguna Google,2,baru pertama beli sdh nunggu lama ga kirim... banyak toko abal2 ga berubah jg
Pengguna Google,5,Responsif
Pengguna Google,4,pelit banget sekarang udah jarang vocer diskon
Pengguna Google,1,"aplikasi payah, setiap membeli selalu dibatalkan sistem"
Pengguna Google,5,keren
Pengguna Google,1,paket saya lama banget datangnya padahal paling lambat tanggal 9 tapi saya tunggu sampai sekarang belom datang kepercayaan nya tokopedia mohon di urusnya saya ini bayar pakek saldo tokopedia sampai sekarang gak datang kurir juga begitu lama banget jangan di buat lama lama
Pengguna Google,5,sangat membantu
Pengguna Google,5,sangat user friendly
Pengguna Google,5,sangat bgus sekali atas gabungnya akun tiktok dan tokopedia mari kembamgkan qkun bisnis ini
Pengguna Google,4,"untuk barang lengkap dan seler dari setiap toko pun juga ramah dan menjawap secara cepat, tapi sayang untuk dari segi pengiriman kurang baik apa lagi kalo pengiriman yang gratis ongkir serasa paket lebih lama dan di tunda²,pernah pesen paket pakek gratis ongkir harus nunggu seminggu baru nyampek jadi gak tau harus nyalahin dari tim ekspidisi paket nya apa emang udah prosedur nya begitu, jadi tolong untuk pihak lazada perbaiki lagi untuk di pengiriman nya makasih."
Pengguna Google,3,cukup puas
Pengguna Google,5,ok mantap bos ku
Pengguna Google,2,kembalikan fitur hapus pesan
Pengguna Google,5,"Alhamdulillah senang berbelanja disini pembayaran mudah bisa pakai apa aja, ongkir juga bagus, kalo ada masalah pembelian bisa diselesaikan dengan bijak."
Pengguna Google,1,"pelayanan CS sangat buruk, hanya dibalas robot"
Pengguna Google,1,permudah pembatalan pesanan dan pengembalian dananya
Pengguna Google,4,Promo tidak seperti 2020
Pengguna Google,1,gw bener² kecewa terhadap pelayan ke costumer 1. susah nya menghubungi cs saat paket dalam masalah sehingga membuat masalah menjadi tambah besar 2. proses yg lama bahkan dalam kasusku gw order pada tanggal 18 maret + proses komplain nya selesai pada tanggal 12 april bukan hanya itu aku sunggu bener² kecewa dari hasil proses nya yang sudah nunggu lama² dapat hasil yg baik
Pengguna Google,2,mohon bantuannya untuk Tokopedia card yang blm bisa di gunakan
Pengguna Google,1,"Klaim proteksi yang sangat ribet dan menyulitkan, Percuma pakai proteksi gadget, Alur klaim yang sangat ribet, Padahal sudah upload data yang dibutuhkan, data juga sudah dari service center, tapi masih ditolak terus,. Tokopedia makin hancur"
Pengguna Google,2,semenjak diakuisisi tiktok jadi gak keren
Pengguna Google,5,ok. gas in
Pengguna Google,5,semoga bisa pinjam dana tunai tanpa ribet di tokopedia
Pengguna Google,1,Sulit menghubungi Costumer Service. Tidak ada tanggapan dari CFS.
Pengguna Google,1,"Heran saya Tokopedia gak bisa cod ke daerah saya Kalbar. padahal Lazada, Shoppe , langsung diantar sampai depan pintu. Tiktok shop malah bisa cod, kan kerjasama dengan Tokopedia juga. hemmm"
Pengguna Google,1,"Aplikasi scam, sering kasih voucher diskon tapi pas udah check out pesanan dibatalkan sepihak. Gak cuma sekali tapi berulang kali"
Pengguna Google,5,sangatttt kerenn
Pengguna Google,1,"pusat bantuannya..ampun..kalah gercep sama tetangga sebelah. ini udh DM, e-mail, chat di tokopedia care juga, gak ada satupun yang jawab."
Pengguna Google,5,mantap
Pengguna Google,1,"kecewa dengan tokped, minta solusi respon lama, minta pengembalian barang susah diakses dan respon cuts lama, pada hal sesuai prosedur tapi ga tau ada no resi tau tau ada info pembeli ga respon"
Pengguna Google,2,"proses pengiriman makin kesini makin kacau. tolong itu tim ekspedisi j&t gk usah dipakai, leletnya minta ampun. udah H+4 dari estimasi blm jg nyampai status shipping gk jelas"
Pengguna Google,1,Pihak Asuransi Tokopedia Maling Uang saya dan dana saya tidak mau di kembalikan padahal barang yang saya beli saya tidak menerimanya lalu si penjual juga sudah claim barangnya hilang dan Tokopedia carenya malah kirim Foto penerimanya padahal gak kenal itu siapa gak di beri tau juga nomor telpon kurirnya alamat yang dia kirim juga gak sesuai dan pihak Tokopedia mengambil uang saya sebesar Rp.157.500 Sudah hampir sebulan loh
Pengguna Google,5,ok
Pengguna Google,5,keren
Pengguna Google,5,bagus
Pengguna Google,1,"live chat costumer service nya gak bisa diandalkan, dichat ga direspon"
Pengguna Google,1,"Tokopedia jangan selalu minta di update dong apk nya 😭😭 apk sebelah gk kaya Tokopedia dah, yg sering minta update, hp jadi lemot klau kaya gini"
Pengguna Google,1,not recomemded
Pengguna Google,1,"sumpah ini aplikasi bermasalah banget, dari awal memesan produk di prosesnya dua hari, pas produk nya dikirimkan ke alamat yang di tuju ada aja masalahnya. seperti pembeli tidak ada di alamat tujuan, padahal saya ada dirumah setelah satu hari setelah malah ada kendala lagi yaitu ""PENERIMA TIDAK MEMESAN PESANAN"" APAAN KOCAK GUE NUNGGU PESANANNYA! better pesen di toko oren atau toko sebelah. disini layanannya buruk sekali"
Pengguna Google,5,0okay seepp
Pengguna Google,5,"𝗍᥆k᥆⍴ᥱძіᥲ terima kasih ,saya sangat puas belanja disini ,,,Tokopedia sangat memahami dan mengerti ,terima kasih ya"
Pengguna Google,1,saya nyesel belanja di Tokopedia soalnya selalu saja barang yang saya beli itu gagal atau di batal oleh sistem
Pengguna Google,5,best
Pengguna Google,3,Habis ketipu toko KUFA varian. kirim barang tidak sesuai. katanya mau nukar saldonya. .syarat harus minta bintang 5. .
Pengguna Google,5,kereennnn
Pengguna Google,3,tolong adakan pembayaran QR menggunakan gopay latter agar lebih enak
Pengguna Google,5,Pembayaran dengan dana cepat
Pengguna Google,4,"Penggunaan/Pemakaian voucher nya kacau, tidak seperti dulu lagi yang bisa di gabung, sekarang malah menjadi opsi"
Pengguna Google,4,Saya isi bintang 4 karena di saat saya buka tokped sukanya muncul hal² yg berbau dewasa pdhl saya masih umur 13thn
Pengguna Google,4,mantap
Pengguna Google,1,"baru pertama pesan paket di app ini...dari tgl 30 maret s/d 15 april paket ga datang²,sudah saya chat pihak toko tapi pihak toko bilang paket sudah sama kurir jadi bukan tanggung jawab dia lagi,terus ini gimana kelanjutan nya coba. hadehhhh... app taik...."
